filename,width,height,class,xmin,ymin,xmax,ymax
BM276:MV-00004:zedx:20250131-023533_153.jpg,1920,1200,person,0,953,299,1200
BM276:MV-00004:zedx:20250131-023550_0.jpg,1920,1200,person,13,897,466,1200
BM276:MV-00004:zedx:20250131-023550_3.jpg,1920,1200,person,25,888,464,1200
BM276:MV-00004:zedx:20250131-023550_35.jpg,1920,1200,person,162,825,542,1200
BM276:MV-00004:zedx:20250131-023550_37.jpg,1920,1200,person,205,798,543,1200
BM276:MV-00004:zedx:20250131-023550_40.jpg,1920,1200,person,273,774,671,1173
BM276:MV-00004:zedx:20250131-023550_44.jpg,1920,1200,person,358,743,690,1146
BM276:MV-00004:zedx:20250131-023550_64.jpg,1920,1200,person,478,658,706,1073
BM276:MV-00004:zedx:20250131-024609_104.jpg,1920,1200,person,1192,196,1209,244
BM276:MV-00004:zedx:20250131-024626_0.jpg,1920,1200,person,1192,183,1208,224
BM276:MV-00004:zedx:20250131-024626_129.jpg,1920,1200,person,1220,177,1229,208
BM276:MV-00004:zedx:20250131-024626_40.jpg,1920,1200,person,1203,181,1214,219
BM276:MV-00004:zedx:20250131-024717_4.jpg,1920,1200,person,1047,200,1057,237
BM276:MV-00004:zedx:20250131-024859_102.jpg,1920,1200,person,1151,200,1164,242
BM276:MV-00004:zedx:20250131-024859_116.jpg,1920,1200,person,1186,199,1209,242
BM276:MV-00004:zedx:20250131-024859_117.jpg,1920,1200,person,1190,200,1211,242
BM276:MV-00004:zedx:20250131-024859_121.jpg,1920,1200,person,1204,196,1224,241
BM276:MV-00004:zedx:20250131-024859_122.jpg,1920,1200,person,1204,197,1226,241
BM276:MV-00004:zedx:20250131-024859_40.jpg,1920,1200,person,989,211,1011,245
BM276:MV-00004:zedx:20250131-025223_28.jpg,1920,1200,person,1021,203,1031,238
BM276:MV-00004:zedx:20250131-025223_48.jpg,1920,1200,person,1040,200,1054,236
BM276:MV-00004:zedx:20250131-025223_56.jpg,1920,1200,person,1036,197,1055,236
BM276:MV-00004:zedx:20250131-025223_8.jpg,1920,1200,person,1016,199,1029,237
BM276:MV-00004:zedx:20250131-025314_104.jpg,1920,1200,person,1043,197,1055,237
BM276:MV-00004:zedx:20250131-025314_7.jpg,1920,1200,person,1035,197,1049,222
BM276:MV-00004:zedx:20250131-025314_76.jpg,1920,1200,person,1037,200,1050,235
BM276:MV-00004:zedx:20250131-025439_105.jpg,1920,1200,person,1201,201,1220,254
BM276:MV-00004:zedx:20250131-025439_117.jpg,1920,1200,person,1170,206,1189,261
BM276:MV-00004:zedx:20250131-025439_129.jpg,1920,1200,person,1134,210,1148,264
BM276:MV-00004:zedx:20250131-025439_130.jpg,1920,1200,person,1127,211,1145,265
BM276:MV-00004:zedx:20250131-025439_168.jpg,1920,1200,person,988,233,1011,273
BM276:MV-00004:zedx:20250131-025439_170.jpg,1920,1200,person,985,232,1000,273
BM276:MV-00004:zedx:20250131-025439_176.jpg,1920,1200,person,966,233,985,274
BM276:MV-00004:zedx:20250131-025439_49.jpg,1920,1200,person,977,222,996,271
BM276:MV-00004:zedx:20250131-025439_49.jpg,1920,1200,person,1199,197,1214,243
BM276:MV-00004:zedx:20250131-025439_56.jpg,1920,1200,person,969,225,988,273
BM276:MV-00004:zedx:20250131-025439_56.jpg,1920,1200,person,1209,197,1227,244
BM276:MV-00004:zedx:20250131-025439_67.jpg,1920,1200,person,960,229,977,274
BM276:MV-00004:zedx:20250131-025439_67.jpg,1920,1200,person,1221,197,1237,244
BM276:MV-00004:zedx:20250131-025456_4.jpg,1920,1200,person,927,209,937,243
BM276:MV-00004:zedx:20250131-025513_128.jpg,1920,1200,person,855,256,885,310
BM276:MV-00004:zedx:20250131-025513_132.jpg,1920,1200,person,856,260,876,316
BM276:MV-00004:zedx:20250131-025513_143.jpg,1920,1200,person,842,261,871,298
BM276:MV-00004:zedx:20250131-025513_152.jpg,1920,1200,person,834,266,863,306
BM276:MV-00004:zedx:20250131-025513_160.jpg,1920,1200,person,828,267,856,335
BM276:MV-00004:zedx:20250131-025513_160.jpg,1920,1200,person,793,269,813,323
BM276:MV-00004:zedx:20250131-025513_167.jpg,1920,1200,person,819,270,851,339
BM276:MV-00004:zedx:20250131-025513_95.jpg,1920,1200,person,866,253,883,282
